"","state","STATE","STATEA","pop.imm.1880","pop.imm.1910","pop.imm.1970","pop.ami.1880","pop.ami.1910","pop.ami.1970","pop.blk.1880","pop.blk.1910","pop.blk.1970"
"32",35,"New Mexico","35",0.0691476585225885,0.0852080838843589,0.0263065897570355,0.077146627625212,0.052601482951117,0.0862611431567908,0.00930419935445393,0.00759167348537742,0.0137213773815766
"33",36,"New York","36",0.236779635569164,0.298594111946918,0.124682536203294,0.00013289022776275,0.000955726853819223,0.00152850233074686,0.013100685273701,0.0143016628539167,0.124612394604942
"34",37,"North Carolina","37",0.00230585803407664,0.0034087789577789,0.0097605241025187,0.000726210562088787,0.00459117337981029,0.00948386525607543,0.379410618342384,0.316495822893814,0.226672126067903
"35",38,"North Dakota","38",0.489146550178084,0.276467665632178,NA,0.00828003785933024,0.00652015812553555,NA,0.00369612666807868,0.000900077046595189,NA
"36",39,"Ohio","39",0.123807677456368,0.124478103622769,0.0358448650900171,2.4639566201659e-05,0,0.000578516221594854,0.0249661576214359,0.0255177076669476,0.101275049752395
"37",40,"Oklahoma","40",NA,0.0248897271821459,0.0123492171013209,NA,0.045674213280603,0.031498319568559,NA,0.0792980926327213,0.0673475236432796
"38",41,"Oregon","41",0.180296405399465,0.171817322065957,0.0404314544189283,0.00994573703155016,0.00654745561545647,0.00765483646485734,0.00287528080586645,0.00116799518855713,0.017223382045929
"39",42,"Pennsylvania","42",0.137276974982978,0.192015926687175,0.0408284845308644,1.0552956335806e-05,0.000235588766574817,0.000412092219071807,0.0202010538412766,0.0255789166958382,0.0899794401816789
"40",44,"Rhode Island","44",0.26590735485307,0.325432670798921,0.0925308762987649,0.000299872881937745,0,0.001306933281056,0.0234263990755576,0.0210102675198491,0.0252891589884336
"41",45,"South Carolina","45",0.00761951750621887,0.00559958743262224,0.0139788927976301,0.00010737028898934,0,0.000864037523915324,0.607231756230028,0.558321703651517,0.324600382645189
"42",46,"South Dakota","46",0.344854448972729,0.17503520208605,NA,0.00425974000187594,0.0341990438939591,NA,0.00312890421443418,0.00419817470664928,NA
"43",47,"Tennessee","47",0.011091019364409,0.00938437170492567,0.00691914559035513,0.000175503621565802,0,0.000340715502555366,0.262233139943453,0.221735280289579,0.122814834228804
"44",48,"Texas","48",0.0723189246701889,0.0630104942549202,0.0394071639368082,0.000643532104442482,0.000181400582074899,0.00127265348251104,0.252483192829315,0.19242336531996,0.126874533402143
"45",49,"Utah","49",0.315527074171993,0.189653114755763,0.0404729976837742,0.00736599304584894,0.00559901883860352,0.00341338534682433,0.0019187619827258,0.00838202321370985,0.00804583688894307
"46",50,"Vermont","50",0.124529217319979,0.154058246743744,NA,1.50359361882085e-05,0,NA,0.00324177791405014,0.00234157763793356,NA
"47",51,"Virginia","51",0.00973196907705194,0.0116491568477311,0.0293351488958617,9.91307252459996e-06,0,0.00113966017405719,0.411665895272001,0.336035670268925,0.190708069386064
"48",53,"Washington","53",0.226347385528463,0.246055590038375,0.0645953811845636,0.0510348501241264,0.00825963855472284,0.0082586839021809,0.00504654655748935,0.00454305317698758,0.0256264882639755
"49",54,"West Virginia","54",0.0299639859052793,0.0461470105409026,0.0123308785750985,2.44721324681861e-05,0,0.000171262202431923,0.0408345556073159,0.0579022653558702,0.0314266141462579
"50",55,"Wisconsin","55",0.309745179283053,0.228256856854686,0.0350859262071282,0.00238463402871817,0.00382747513746245,0.00341660704638701,0.00210769560558123,0.000958712462177492,0.0356115580604185
"51",56,"Wyoming","56",NA,NA,NA,NA,NA,NA,NA,NA,NA
"52",72,"Puerto Rico","72",NA,NA,NA,NA,NA,NA,NA,NA,NA
