"","state","year","pop","whtpop","blkpop","child","blkchild","whtchild","adult","blkadult","whtadult","pov","childpov","blkpov","whtpov","blkchildpov","whtchildpov","unemp","whtunemp","blkunemp","emp","whtemp","blkemp","LessHS","wLessHS","bLessHS","kidskincare","wkidskincare","bkidskincare","kids2par","wkids2par","bkids2par","avgrent"
"36",36,2000,18403095,11428358,2854388,4671724,889027,2556208,13731371,1965361,8872150,2646796,966529,704765,935802,302445,267568,553359,229319,149238,8305051,5612397,1088886,0.151631849943319,0.0988640455898055,0.188934788341944,386362,102491,149879,2851971,1936438,281644,748.530699436223
"37",37,2000,7797870,5489367,1658636,1960122,517424,1232461,5837748,1141212,4256906,932697,316176,371038,422622,154944,107209,174401,87044,66067,3865922,2870485,696607,0.181953965383132,0.156138348524731,0.220988285140691,163268,63415,83477,1176562,865927,182367,582.524353426587
"38",38,2000,618267,567765,2535,162060,556,141461,456207,1979,426304,68983,20375,51,57113,0,14498,12268,10769,0,319988,301229,2232,0.130307103712129,0.129536907348384,0,6081,3475,0,114148,104619,202,431.138435081685
"39",39,2000,11049048,9293365,1227156,2879690,407350,2278570,8169358,819806,7014795,1197871,437032,337044,772553,158858,240578,258857,184000,59381,5360967,4672668,471697,0.134209437569087,0.125239843452643,0.187872886424503,177076,109484,51387,1767124,1564854,107260,563.068604097189
"40",40,2000,3335845,2496945,233336,878502,78034,578035,2457343,155302,1918910,486641,176906,61727,285533,29089,81368,75750,50461,9621,1543371,1205350,94988,0.148411777257466,0.1337157534555,0.133431579277422,64198,33403,9128,525748,376422,24223,483.287079460662
"41",41,2000,3343437,2793729,55931,841470,19616,647792,2501967,36315,2145937,398999,139414,13255,280119,5761,87273,106297,78067,3613,1630436,1393517,23500,0.111082701463587,0.0855011067391361,0.147080914988051,40480,24986,1692,529381,419783,6536,680.735984998026
"42",42,2000,11845305,9999599,1142471,2923088,373604,2298686,8922217,768867,7700913,1305943,461575,311899,827662,141056,247879,277212,194359,57283,5566863,4869220,423695,0.138735149848488,0.128937401768544,0.188875694311435,187853,92506,70267,1893830,1683979,91506,577.836366637778
"44",44,2000,1010120,828262,45427,249069,18414,182572,761051,27013,645690,115915,41680,14510,63495,7908,16493,27597,19855,2073,490293,423008,15894,0.178208909031934,0.153764769333892,0.252339718359136,14236,9988,1140,154343,126345,7053,612.175992497656
"45",45,2000,3876610,2573422,1127513,1003325,366095,580891,2873285,761418,1992531,539202,193576,299147,205931,125815,57567,95751,42936,47241,1822369,1305730,435027,0.192660794057443,0.15611628001069,0.279367615233354,100504,27603,68103,554628,402344,118816,533.766935101847
"46",46,2000,726407,637163,6029,203838,3298,161449,522569,2731,475714,92802,34534,1403,54663,886,13722,13931,9097,0,366808,339963,1895,0.12255166057411,0.114156080294215,0.128191766545076,11535,3592,738,134376,121902,517,448.143057503506
