"","state","year","entered","entered.nkin","bent","went","cl","bcl","wcl","pl.pre-adopt","pl.foster.rel","pl.foster.non.rel","pl.grphome","pl.inst","pl.indliv","pl.awol","pl.trialvis","b.pl.pre-adopt","b.pl.foster.rel","b.pl.foster.non.rel","b.pl.grphome","b.pl.inst","b.pl.indliv","b.pl.awol","b.pl.trialvis","w.pl.pre-adopt","w.pl.foster.rel","w.pl.foster.non.rel","w.pl.grphome","w.pl.inst","w.pl.indliv","w.pl.awol","w.pl.trialvis","cg.reunify","cg.other.rel","cg.adopt","cg.long.fc","cg.emanc","cg.guard","cg.noplan","cg.na","b.cg.reunify","b.cg.other.rel","b.cg.adopt","b.cg.long.fc","b.cg.emanc","b.cg.guard","b.cg.noplan","b.cg.na","w.cg.reunify","w.cg.other.rel","w.cg.adopt","w.cg.long.fc","w.cg.emanc","w.cg.guard","w.cg.noplan","w.cg.na","prtsjail == 1"
"46",51,2000,2738,2580,1215,1390,11353,4480,3760,716,286,5098,295,1424,194,170,336,352,136,2750,129,701,116,105,140,322,129,2158,150,664,68,52,174,1908,568,2477,1649,1713,62,143,0,825,327,1364,924,906,30,62,0,973,225,1007,664,740,28,76,0,186
"47",53,2000,7590,5804,941,4903,23664,2547,9981,201,4061,9433,787,952,15,321,2,69,753,1419,117,108,2,58,0,98,2500,5780,540,672,11,191,1,10997,339,2967,473,176,813,309,0,1411,67,700,93,30,209,37,0,6988,172,1825,283,115,425,173,0,467
"48",54,2000,2392,2264,239,1842,8036,657,4536,334,206,2845,1789,196,115,124,35,60,28,341,184,10,18,12,4,260,141,2314,1437,163,86,105,30,2523,222,1051,1251,42,48,1,0,270,30,189,128,1,8,0,0,2025,168,835,1057,39,35,1,0,127
"49",55,2000,6001,5129,1986,3373,20544,6506,6631,641,2545,8697,1208,1028,2,12,13,192,1981,3554,290,176,1,11,11,368,361,4269,790,778,0,1,2,5781,270,1385,479,208,0,6417,0,1139,114,487,90,35,0,4641,0,4044,130,737,332,165,0,1220,0,858
"50",56,2000,786,708,22,625,2332,64,1237,23,230,600,306,337,38,12,0,1,13,24,6,18,1,1,0,19,188,459,254,275,33,9,0,884,44,94,140,117,53,207,0,38,2,5,5,4,2,8,0,716,36,76,110,98,46,148,0,0
"51",1,2001,2672,2159,1150,1485,10802,4149,3874,276,1233,4027,324,1171,28,158,777,121,590,2144,176,596,15,97,348,154,641,1811,144,562,12,59,421,3953,1249,1218,1483,0,0,227,0,1831,745,587,871,0,0,115,0,2068,496,605,593,0,0,112,0,45
"52",2,2001,999,753,94,272,3988,293,795,56,809,1156,202,45,0,0,718,3,71,120,12,4,0,0,82,20,205,318,52,13,0,0,187,1766,34,833,83,30,237,0,0,162,6,78,5,4,37,0,0,480,8,199,30,13,65,0,0,NA
"53",4,2001,4515,3432,517,2260,15294,1612,5234,603,2421,3250,1463,1549,208,395,756,106,333,484,261,222,31,58,96,259,1084,1651,746,723,118,154,426,3070,1002,3328,491,1863,141,884,0,338,162,515,98,356,42,101,0,1587,428,1556,229,966,53,415,0,390
"54",5,2001,3347,3247,1015,2166,9550,2172,3776,296,231,4271,55,787,20,158,274,97,128,1513,21,247,9,62,65,180,99,2592,31,498,11,84,203,3391,321,1125,232,701,42,253,0,1052,138,455,117,284,15,66,0,2202,174,632,111,399,26,157,0,518
"55",6,2001,45176,33364,10202,15097,196440,47349,44137,9447,47014,50464,20582,6764,0,5139,11474,2806,18047,14724,6087,1465,0,1321,2766,2862,11057,16253,7254,2126,0,1591,2869,54049,11654,9736,11985,0,7287,56553,0,14614,6985,3486,4781,0,3815,13668,0,15930,1696,2457,3403,0,1386,19265,0,883
