"st","datayear","cl.blk","ent.blk","reun.blk","lifelos.blk","grp.inst.blk","kin.fc.blk","cl.white","ent.white","reun.white","lifelos.white","grp.inst.white","kin.fc.white","cl.nat.am","ent.nat.am","reun.nat.am","lifelos.nat.am","grp.inst.nat.am","kin.fc.nat.am","cl.latino","ent.latino","reun.latino","lifelos.latino","grp.inst.latino","kin.fc.latino","cl.asian","ent.asian","reun.asian","lifelos.asian","grp.inst.asian","kin.fc.asian","cl.unk","ent.unk","reun.unk","lifelos.unk","grp.inst.unk","kin.fc.unk","cl.haw.pi","ent.haw.pi","reun.haw.pi","lifelos.haw.pi","grp.inst.haw.pi","kin.fc.haw.pi","cl","ent","grp.inst","reun","lifelos","kin.fc"
"CT",2007,3360,966,674,1017.07202380952,573,385,2946,894,638,867.404616429056,495,315,39,8,11,1006.64102564103,4,3,2421,754,538,904.025196199917,370,226,52,24,6,816.711538461538,4,14,94,33,30,476.191489361702,14,7,19,5,5,612.526315789474,0,1,8931,2684,1460,1902,929.292240510581,951
"DC",2007,2815,540,402,1381.42344582593,428,478,22,7,5,874.681818181818,3,4,1,0,0,1657,1,0,71,21,9,1250.70422535211,14,1,4,0,1,1556.75,2,1,28,17,17,249.607142857143,7,3,2,1,0,589.5,0,0,2943,586,455,434,1363.50730547061,487
"DE",2007,1247,665,429,505.963111467522,432,145,680,343,221,434.998531571219,188,97,7,4,4,233.428571428571,2,0,154,92,60,320.428571428571,39,15,3,3,3,32.3333333333333,2,0,1,1,1,90,1,0,3,2,2,275.333333333333,1,1,2095,1110,665,720,467.157919847328,258
"FL",2007,19478,7519,6455,525.979003028903,2627,9227,22961,9519,8107,462.764992813902,2374,11271,142,77,32,403.971830985916,14,62,4864,2097,1637,465.22265625,531,2205,148,64,61,464.128378378378,14,48,123,65,44,397.926829268293,13,67,43,17,21,482.976744186047,7,17,47759,19358,5580,16357,488.477868509213,22897
"GA",2007,10956,4436,3473,698.801204819277,1821,2383,9532,3897,3222,595.811686949224,1454,2233,37,17,19,415.702702702703,1,4,1129,586,418,466.644818423384,143,145,64,36,26,368.828125,13,10,77,45,26,391.233766233766,15,8,16,9,4,494.5,0,1,21811,9026,3447,7188,639.090734033286,4784
"HI",2007,197,75,61,577.598984771574,14,68,456,240,184,513.600877192982,56,83,157,45,56,740.687898089172,10,56,58,35,34,332.827586206897,5,14,1555,548,491,657.233440514469,94,655,174,98,75,360.741379310345,10,86,1128,406,370,720.36524822695,107,397,3725,1447,296,1271,639.173154362416,1359
"IA",2007,2197,800,615,607.800182066454,283,240,9464,3466,2914,593.738905325444,1318,1154,311,119,89,629.578778135048,36,47,880,389,261,476.5125,82,76,137,45,58,504.85401459854,11,10,749,378,277,355.663551401869,62,99,47,13,22,435.659574468085,5,7,13785,5210,1797,4236,574.947043888284,1633
"ID",2007,98,40,46,607.448979591837,5,4,2422,1157,844,487.349298100743,295,360,359,155,105,551.406685236769,29,45,444,191,148,527.641891891892,34,77,14,10,3,692.285714285714,2,2,3,3,2,2.66666666666667,1,0,14,4,2,1138.07142857143,1,2,3354,1560,367,1150,506.186940966011,490
"IL",2007,14142,2334,1416,1843.71482110027,1275,4054,7722,2244,1266,962.888759388759,519,2417,61,16,20,580.360655737705,13,7,1362,316,152,1451.72780630961,111,394,44,8,12,1012.56818181818,2,8,446,86,61,1277.14125560538,20,129,NA,NA,NA,NA,NA,NA,23777,5004,1940,2927,1519.78749264026,7009
"IN",2007,6482,2345,1669,707.434454040716,1015,944,11137,4885,3283,558.137110532459,1852,1508,322,130,89,551.428571428571,40,20,872,419,240,513.498853211009,142,70,49,28,18,270.408163265306,10,2,42,17,13,642.97619047619,7,3,17,9,5,462.117647058824,6,3,18921,7833,3072,5317,606.479945040427,2550
"KS",2007,2165,785,389,841.018475750577,189,424,6974,2822,1711,612.62982078853,495,1343,167,66,48,582.97005988024,19,42,761,329,173,617.26938239159,61,113,41,28,8,425.536585365854,1,4,102,43,23,595.833333333333,5,13,4,2,1,163.75,0,0,10214,4075,770,2353,659.801566324033,1939
"KY",2007,2707,1077,732,635.331363132619,437,296,9184,4348,2994,509.864547038328,1468,1499,44,9,6,1037.70454545455,7,7,425,193,132,460.428235294118,47,30,27,14,12,376.037037037037,3,1,249,142,95,426.413654618474,39,34,25,7,3,426.28,2,2,12661,5790,2003,3974,534.773398625701,1869
"LA",2007,4287,1762,1213,748.735945882902,684,1034,4112,1724,1233,564.213278210117,396,1190,28,12,8,627.428571428571,3,6,88,50,32,522.556818181818,11,16,14,10,4,465.785714285714,0,3,105,69,44,335.895238095238,5,38,7,6,1,245.571428571429,0,0,8641,3633,1099,2535,652.347876403194,2287
"MA",2007,3603,1319,842,828.08631695809,603,545,8196,3153,2114,730.08028306491,1380,1568,86,29,14,885.662790697674,12,12,3794,1433,899,802.322614654718,547,524,307,152,81,691.628664495114,30,42,698,321,211,549.89111747851,67,137,15,6,5,404.533333333333,2,2,16699,6413,2641,4166,759.90981495898,2830
"MD",2007,8467,1739,1127,1487.32679815755,1350,2958,2682,755,487,860.111856823266,513,624,35,12,3,1087.42857142857,7,9,234,82,52,690.487179487179,48,39,48,11,6,794.520833333333,10,14,162,71,33,655.043209876543,12,53,9,1,1,1273.11111111111,0,1,11637,2671,1940,1709,1310.93598006359,3698
"ME",2007,172,65,29,844.308139534884,19,20,2439,686,301,1108.59163591636,341,397,95,34,20,707,14,14,70,28,15,778.785714285714,8,11,20,2,3,1065.95,2,5,101,31,24,839.732673267327,9,15,4,0,0,1419.5,1,0,2901,846,394,392,1062.58738366081,462
"MI",2007,14538,3979,2002,953.19017814155,2224,5015,12883,4442,2381,631.803290137348,1361,4330,478,168,78,624.376569037657,56,161,1188,426,241,583.01850294365,72,383,88,31,13,738.920454545455,10,27,72,18,14,880.821917808219,33,18,127,50,21,610.826771653543,50,31,29374,9114,3806,4750,789.593342636398,9965
"MN",2007,3771,2028,1458,512.178732431716,1205,620,6712,3606,2817,435.16373659118,2201,990,2071,1012,778,540.921776919363,484,505,901,565,426,335.768035516093,293,121,359,239,184,295.910863509749,120,45,390,295,228,165.505128205128,153,52,17,11,8,490.352941176471,5,2,14221,7756,4461,5899,453.845439842486,2335
"MO",2007,4480,1314,969,1084.70424107143,735,827,10223,3639,2689,777.208353712218,1394,1878,61,31,18,445.704918032787,7,9,413,186,118,542.411622276029,47,71,47,25,15,437.212765957447,4,5,152,60,56,774.046052631579,29,16,13,5,2,523.076923076923,2,1,15389,5260,2218,3867,857.825979595815,2807
"MS",2007,2821,1117,840,729.080113434952,405,915,2417,1103,741,580.901117087298,356,902,21,6,1,835.190476190476,6,4,81,38,23,473.567901234568,8,16,4,2,1,255,1,1,25,17,9,258.92,2,9,2,0,0,1175,0,0,5371,2283,778,1615,656.584248743251,1847
"MT",2007,80,25,20,690.275,10,21,1564,552,410,750.533887468031,271,378,1108,410,321,758.426895306859,129,345,107,32,35,543.429906542056,7,26,14,9,5,623.285714285714,5,0,80,43,34,561.3625,15,16,7,4,5,201.142857142857,0,1,2960,1075,437,830,737.359459459459,787
"NC",2007,7290,2416,1560,757.415912208505,721,1872,7599,2913,1667,624.998552441111,849,1855,378,139,149,482.507936507937,29,125,1059,441,279,518.211520302172,68,218,54,19,37,463.240740740741,2,6,90,46,15,435.622222222222,6,16,142,47,37,552.640845070423,5,36,16612,6021,1680,3744,670.888273537202,4128
"ND",2007,102,58,21,502.764705882353,10,15,1225,525,288,547.791836734694,329,256,688,269,162,666.845930232558,170,113,103,33,11,550.446601941748,19,13,31,13,3,634.387096774194,2,3,1,1,0,160,0,1,4,2,0,594.25,0,0,2154,901,530,485,584.965645311049,401
"NE",2007,1565,547,407,743.817252396166,304,252,5862,2159,1751,634.909245991129,919,924,879,336,210,644.535836177474,145,159,939,386,304,586.127795527157,147,143,41,18,9,620.560975609756,6,5,289,126,81,598.806228373702,41,55,4,3,1,211,0,0,9579,3575,1562,2763,647.476250130494,1538
"NH",2007,129,47,25,801.496124031008,38,19,1240,433,218,931.31935483871,302,208,16,7,6,1109.0625,3,3,85,25,14,751.011764705882,22,6,12,7,2,380.25,5,2,148,49,32,1141.03378378378,40,18,6,2,1,1024,2,0,1636,570,412,298,928.722493887531,256
"NJ",2007,8221,2429,1899,1051.34463482805,1700,1801,4334,1692,1428,633.994011976048,815,1097,29,9,8,1075.86206896552,10,3,1133,465,343,762.427689594356,284,246,59,29,26,620.203389830509,10,9,2340,1084,776,460.275096112772,250,614,4,2,2,247,0,0,16120,5710,3069,4482,831.279836410955,3770
"NM",2007,312,135,85,569.705128205128,24,28,1192,602,430,483.327181208054,96,135,563,301,199,393.404973357016,111,80,2371,1119,773,481.532264867145,138,343,7,4,2,553.857142857143,1,1,123,103,98,104.219512195122,8,16,8,4,4,700,0,0,4576,2268,378,1591,467.519667832168,603
"NV",2007,2511,1083,788,627.512146555157,404,765,3916,1593,1267,605.89606741573,499,1005,158,64,29,596.46835443038,19,31,1855,848,720,459.11051212938,232,513,163,81,73,381.79754601227,16,56,8,4,3,286.375,2,3,97,30,30,537.371134020619,4,29,8708,3703,1176,2910,575.437873220028,2402
"NY",2007,20219,5805,3465,1222.73322122756,4415,4090,8371,2934,2137,808.625373312627,2608,617,150,61,50,787.626666666667,48,12,8424,2691,1607,1036.75688509022,1651,1832,268,96,55,1042.41791044776,49,28,5603,1638,1025,1363.52864536855,1466,645,1,0,1,454,1,0,43036,13225,10238,8340,1121.45420113393,7224
"OH",2007,11267,4457,3396,668.039584627674,1540,2448,13947,5952,4592,539.53230085323,1685,3070,102,30,36,625.343137254902,9,15,760,345,265,480.793421052632,62,128,60,27,19,427.166666666667,3,12,260,193,96,242.384615384615,13,68,9,3,1,835.444444444444,0,0,26405,11007,3312,8405,589.926756296156,5741
"OK",2007,4756,1657,1142,749.622792262405,694,1267,7347,2799,1959,625.049544031578,802,1583,4518,1572,1067,682.702965914121,387,811,1535,648,441,527.072964169381,178,331,146,61,48,520.77397260274,25,21,NA,NA,NA,NA,NA,NA,100,30,34,571.83,11,17,18402,6767,2097,4691,662.111183567004,4030
"OR",2007,2072,705,397,940.768822393822,127,333,8833,2645,2290,860.3563908072,596,1201,885,151,220,981.577401129943,32,143,1387,514,444,673.420331651045,44,195,69,13,19,908.188405797101,5,7,1693,557,447,739.500295333727,80,228,50,19,22,731,5,7,14989,4604,889,3839,847.469477616919,2114
"PA",2007,15815,6399,3822,732.442238381284,5103,3738,14219,6127,4327,612.051972712568,3800,2548,72,27,3,844.083333333333,18,3,2540,1092,748,597.323622047244,821,362,157,56,34,714.012738853503,73,18,1358,755,287,437.176730486009,198,394,8,3,6,140.625,0,5,34169,14459,10013,9227,660.576194796453,7068
"PR",2007,1361,305,518,1341.29390154298,111,384,55,12,30,1552.43636363636,4,24,20,4,12,1395.9,0,13,6378,1861,2563,1351.21564018179,428,2058,16,3,6,1365.1875,0,4,12,9,8,969.583333333333,0,4,19,9,7,659,0,8,7861,2203,543,3144,1348.79310783316,2495
"RI",2007,1174,438,262,656.954855195911,363,342,2047,806,534,662.103077674646,714,559,69,25,11,658.463768115942,19,24,804,347,192,585.819651741294,282,191,92,42,17,567.467391304348,36,23,64,37,18,477.390625,25,21,7,3,1,382.714285714286,3,1,4257,1698,1442,1035,640.935400516796,1161
"SC",2007,4369,1782,1248,803.522316319524,925,494,3851,1781,1197,567.406128278369,986,461,29,14,18,512,6,8,297,161,101,478.040404040404,58,30,26,20,16,431.269230769231,11,3,7,3,6,237.714285714286,2,1,15,6,10,499.8,2,4,8594,3767,1990,2596,683.368629276239,1001
"SD",2007,195,94,65,423.651282051282,40,20,902,394,315,577.312638580931,195,122,1737,834,529,498.211283822683,304,337,119,57,44,564.865546218487,23,12,12,8,8,418.666666666667,1,0,4,4,4,2.25,1,0,4,1,2,413.25,1,1,2973,1392,565,967,518.885301042718,492
"TN",2007,4709,1855,1657,697.873221490762,759,421,9073,4103,3360,501.005621073515,1053,975,31,13,15,416.935483870968,0,2,575,262,185,483.394782608696,47,27,42,23,21,326.119047619048,8,7,281,147,102,370.348754448399,23,36,9,8,4,218.111111111111,0,0,14720,6411,1890,5344,559.95339673913,1468
"TX",2007,12788,4049,2410,805.535423834845,1830,3938,14532,4715,3497,686.108243875585,2158,4018,257,91,53,703.229571984436,41,56,17548,5966,3812,666.547469797128,2387,4778,194,62,43,723.438144329897,20,55,619,310,116,392.610662358643,45,218,46,29,13,401.217391304348,5,8,45984,15222,6486,9944,707.873303757829,13071
"UT",2007,300,128,67,529.433333333333,57,17,2814,1276,671,516.018834399431,438,352,307,148,71,524.934853420195,48,44,1006,517,259,414.461232604374,89,94,34,19,7,608.882352941176,6,1,26,20,7,222.615384615385,8,3,53,22,22,491.452830188679,2,9,4540,2130,648,1104,493.73281938326,520
"VA",2007,5148,1542,614,928.480481646922,1189,297,5159,1772,872,706.841635975964,1230,427,23,9,5,591.478260869565,8,1,693,231,123,606.454545454545,112,48,60,25,19,717.65,8,1,83,44,13,429.469879518072,18,0,18,6,1,728.388888888889,4,2,11184,3629,2569,1647,800.450156459544,776
"VT",2007,60,18,13,645.655737704918,10,4,1856,581,370,741.903607969844,284,228,0,0,0,0,0,NA,18,8,3,842.166666666667,2,0,1,0,1,0,1,0,32,11,7,621.03125,8,5,NA,NA,NA,NA,NA,NA,1967,618,305,394,737.122842639594,237
"WA",2007,2618,852,625,856.368983957219,276,902,9523,3856,2780,601.175469914943,813,2774,2318,873,593,696.870146678171,138,821,2115,949,617,571.168794326241,175,668,312,179,104,473.666666666667,28,79,353,232,127,285.260623229462,36,93,118,57,40,520.737288135593,15,45,17357,6998,1481,4886,639.526588696203,5382
"WI",2007,4623,1730,937,936.487562189055,732,1475,5965,2772,1977,553.849170437406,1251,1581,637,288,208,603.646781789639,118,202,920,451,276,563.346739130435,130,255,155,86,63,594.245161290323,26,28,137,79,67,405.058394160584,32,40,21,14,7,361.142857142857,2,10,12458,5420,2291,3535,697.607303370787,3591
"WV",2007,849,335,214,684.527679623086,242,82,5942,2676,1542,600.097441938741,1763,608,15,9,1,533.066666666667,3,0,88,33,16,551.840909090909,20,6,7,6,4,208.142857142857,4,0,54,22,41,280.833333333333,19,6,26,13,5,646.038461538462,9,4,6981,3094,2060,1823,606.921644463544,706
"WY",2007,97,47,30,508.103092783505,26,16,1698,772,660,507.2308598351,589,255,53,29,20,446.056603773585,20,5,261,138,105,463.911877394636,94,59,9,4,7,577.555555555556,4,0,97,58,48,305.670103092784,35,16,2,2,0,141,1,1,2217,1050,769,870,491.843031123139,352
"AK",2006,270,100,45,561.159259259259,21,68,703,220,109,607.40625,64,159,1512,522,262,547.636900853578,145,447,47,9,11,443.808510638298,2,10,30,18,7,491.4,1,7,21,17,7,117.904761904762,2,0,21,11,3,599.47619047619,2,2,2604,897,237,444,559.573394495413,693
"AL",2006,4870,1646,1254,1071.04024640657,973,788,5444,1989,1608,746.701689933872,870,996,17,2,4,1161.82352941176,4,5,267,137,95,460.303370786517,14,17,9,3,3,1004,0,1,20,12,6,519.7,3,0,4,2,1,853,0,0,10631,3791,1864,2971,888.580942526573,1807
"AR",2006,2475,1365,961,560.653737373737,414,192,4058,2274,1733,427.350911779202,709,278,89,35,25,667.089887640449,14,8,331,184,170,336.507552870091,47,8,47,29,17,258.63829787234,15,2,29,22,18,341.206896551724,5,1,26,15,10,321.461538461538,1,3,7055,3924,1205,2934,471.009496810772,492
"AZ",2006,2109,910,550,669.109056424846,572,510,7138,3048,1970,567.493415522555,1418,1965,1221,568,356,498.90171990172,283,343,5925,2604,1701,513.95611814346,1206,1915,86,53,45,437.674418604651,24,21,428,246,161,305.757009345794,103,126,61,31,22,362.918032786885,18,19,16968,7460,3624,4805,548.497760490335,4899
"CA",2006,32504,9077,5321,1486.23342664657,4517,9146,27793,9956,6529,861.48307127694,4075,5866,3506,1313,805,847.887621220764,303,856,49655,19039,11724,802.671030107743,5358,13109,3089,1283,869,703.22693428294,401,692,351,225,146,459.552706552707,158,21,572,197,163,683.674825174825,73,170,117470,41090,14885,25557,1002.86998714598,29860
"CO",2006,2241,1034,679,570.272199910754,687,370,7308,3440,2558,510.107006020799,2176,1345,375,193,94,486.170666666667,119,47,4905,2289,1748,467.518246687054,1275,1028,129,68,49,462.961240310078,38,18,6,0,1,1571.33333333333,4,0,71,35,20,428.154929577465,16,11,15035,7059,4315,5149,504.215630196209,2819
"CT",2006,3548,1223,686,998.383878241263,603,468,3134,1037,603,861.26356094448,542,368,54,19,15,740.333333333333,4,6,2503,899,523,894.300439472633,365,282,42,14,10,959.095238095238,5,3,109,49,25,453.990825688073,22,8,15,7,1,524.6,2,3,9405,3248,1543,1863,916.269431153642,1138
"DC",2006,3155,593,507,1319.17115689382,423,590,16,8,1,861,0,3,2,1,1,763.5,1,1,74,16,20,1079.24324324324,12,3,7,0,2,1096.57142857143,1,1,72,50,61,231.319444444444,12,16,4,0,3,744,2,0,3330,668,451,595,1286.62432432432,614
"DE",2006,1089,584,368,472.176308539945,384,120,646,359,209,408.202472952087,197,80,5,2,0,187.6,3,0,118,71,43,364.381355932203,31,11,2,1,1,467.5,0,1,2,2,1,133.5,1,0,2,2,1,59.5,1,0,1864,1021,617,623,441.588739946381,212
"FL",2006,20468,8496,6411,716.083887043189,2735,9712,24691,11082,8371,527.163217366652,2501,12207,109,47,34,703.926605504587,15,44,4850,2188,1650,556.221855670103,618,2213,173,95,74,457.485549132948,21,57,126,65,52,396.18253968254,10,69,50,26,21,382.64,3,19,50467,21999,5903,16613,606.249469950661,24321
"GA",2006,11885,4924,3897,708.592343289861,1984,2293,10476,4219,3523,594.126956853761,1620,2436,33,15,13,398.272727272727,3,4,1110,524,456,504.099099099099,145,118,68,34,38,345.147058823529,9,10,103,43,42,481,11,13,13,5,4,683.461538461538,1,2,23688,9764,3773,7973,645.908687943262,4876
"HI",2006,208,85,60,634.846153846154,15,64,436,220,175,517.463302752294,56,68,204,63,59,638.813725490196,13,76,46,20,15,438.521739130435,6,8,1890,680,561,613.395767195767,86,780,171,102,81,374.538011695906,8,63,1404,503,454,636.39886039886,91,562,4359,1673,275,1405,602.20692819454,1621
"IA",2006,2091,811,458,578.323290291726,304,249,10255,3827,3052,557.948805460751,1544,1379,294,118,65,619.15306122449,38,39,782,336,232,490.377237851662,64,74,150,62,48,470.4,15,23,730,438,204,318.560273972603,58,148,64,38,16,357.125,8,9,14366,5630,2031,4075,544.515522762077,1921
"ID",2006,88,40,24,583.727272727273,12,5,2397,1133,905,468.26074259491,315,427,329,132,81,552.547112462006,36,54,477,232,161,466.155136268344,36,106,7,1,1,1062.85714285714,0,0,12,12,12,13.25,3,0,11,2,1,1116.45454545455,1,1,3321,1552,403,1185,481.124059018368,593
"IL",2006,15231,2506,1489,1858.24343487395,1299,4422,7664,2071,1216,986.572155532359,529,2278,48,33,12,508.8125,14,4,1390,258,180,1529.1308411215,99,374,51,13,12,810.901960784314,4,11,474,94,49,1284.18565400844,24,143,NA,NA,NA,NA,NA,NA,24858,4975,1969,2958,1555.40454545455,7232
"IN",2006,6311,2306,1372,701.442719061955,1051,946,10619,4547,3058,557.863169789999,1842,1215,324,134,87,545.296296296296,36,23,772,339,243,523.405440414508,131,41,35,18,9,396.485714285714,6,2,46,28,9,493.434782608696,11,5,16,7,3,529.5,3,2,18123,7379,3080,4781,605.669370413287,2234
"KS",2006,1901,605,280,900.531825355076,194,338,6344,2536,1409,621.993064312736,506,1225,162,73,27,629.506172839506,12,26,589,244,113,660.769100169779,75,76,32,9,15,538.71875,2,3,125,37,28,648.592,3,15,2,2,0,110.5,0,1,9155,3506,792,1872,682.41856908793,1684
"KY",2006,2939,1294,802,662.80571623001,827,316,9590,4604,3234,536.953284671533,2269,1384,53,27,11,828.415094339623,12,6,388,199,119,429.564432989691,74,24,28,16,10,337.821428571429,11,2,311,199,134,408.337620578778,75,42,24,18,5,218.875,4,1,13333,6357,3272,4315,558.737718442961,1775
"LA",2006,4343,1932,1223,777.403177527055,827,919,4065,1941,1231,543.345633456335,454,1127,31,16,13,613.387096774194,3,7,65,22,26,593.815384615385,9,18,16,5,7,829.4375,3,4,78,48,31,475.115384615385,9,18,1,1,0,145,0,0,8599,3965,1305,2531,662.059541807187,2093
"MA",2006,4102,1353,978,1004.49439297903,694,542,8984,3126,2205,866.853517364203,1555,1539,108,28,31,874.240740740741,16,10,3973,1388,975,906.42763654669,610,494,339,121,120,911.941002949853,33,47,723,350,179,567.513139695712,90,117,17,11,4,373.352941176471,3,2,18246,6377,3001,4492,894.974788994848,2751
"MD",2006,9191,2193,1131,1412.43629637689,1846,3297,2933,998,525,838.489942038868,629,671,26,5,1,1201.5,8,8,227,84,48,619.612334801762,50,43,46,17,7,623.326086956522,7,10,183,61,47,706.021857923497,18,45,9,3,0,1104.88888888889,0,0,12615,3361,2558,1759,1250.94752279033,4074
"ME",2006,144,41,17,1010.21527777778,9,15,2609,621,336,1194.05519356075,417,371,89,32,13,823.741573033708,13,15,66,12,12,899.80303030303,7,7,20,2,0,919.1,2,3,133,32,45,802.12030075188,22,23,8,0,1,1245.125,0,1,3069,740,470,424,1149.71847507331,435
"MI",2006,14270,3945,2221,939.633968609866,2042,4866,12589,4362,2516,625.405383943461,1479,3974,489,158,121,641.40899795501,66,133,1118,407,226,586.245080500894,82,362,81,23,22,721.62962962963,9,37,182,69,33,638.038461538462,31,68,102,41,19,567.627450980392,27,28,28831,9005,3736,5158,779.822103547526,9468
"MN",2006,3762,2133,1473,516.569377990431,1246,649,7088,3859,2989,431.757195259594,2266,1197,2068,1039,733,542.083172147002,465,584,845,510,392,364.030769230769,262,102,330,213,178,269.99696969697,148,42,308,236,184,158.707792207792,143,51,17,7,6,561,5,3,14418,7997,4535,5955,456.358787626578,2628
"MO",2006,4975,1595,1497,1035.81547738693,796,949,10973,3904,4415,676.949603572405,1331,1974,93,33,34,695.602150537634,12,11,397,177,158,512.818639798489,32,84,38,13,16,509.052631578947,2,6,103,43,40,654.961165048544,21,15,10,3,0,405.1,1,0,16589,5768,2195,6160,780.064259449033,3039
"MS",2006,2691,1004,816,756.225938312895,572,970,2307,882,790,608.668400520156,524,914,24,9,7,577.583333333333,6,6,82,36,38,464.19512195122,18,20,8,4,6,320.125,3,4,30,14,12,436.3,4,13,2,1,0,810,0,0,5144,1950,1127,1669,682.036936236392,1927
"MT",2006,85,24,17,710.082352941177,8,19,1724,606,465,709.94373549884,279,475,1190,422,343,742.616806722689,130,394,107,46,17,520.233644859813,8,37,16,6,7,753.875,1,4,90,44,37,559.922222222222,12,26,6,5,1,143.333333333333,1,1,3218,1153,439,887,710.688004972032,956
"NC",2006,7323,2648,1478,756.165232828076,830,1848,7702,3018,1832,616.608413399117,958,1924,370,192,99,445.889189189189,37,138,994,423,223,491.718309859155,76,172,70,27,23,416.214285714286,1,16,75,35,11,470.546666666667,4,22,158,70,40,464.170886075949,4,36,16692,6413,1910,3706,663.672897196262,4156
"ND",2006,99,38,27,557.575757575758,19,15,1291,569,292,530.474825716499,363,305,684,280,136,620.820175438596,201,144,110,51,16,419.918181818182,10,26,26,10,0,636.692307692308,1,1,NA,NA,NA,NA,NA,NA,2,0,0,786,0,0,2212,948,594,471,555.606238698011,491
"NE",2006,1585,604,387,736.919873817035,314,241,6065,2335,1680,626.02572135202,947,926,911,325,249,673.216245883644,149,143,965,396,314,573.768911917098,160,139,33,14,7,611.363636363636,5,6,282,124,95,582.943262411348,44,45,4,1,1,505.25,1,0,9845,3799,1620,2733,641.791467750127,1500
"NH",2006,128,45,20,883.21875,33,15,1358,432,252,1020.05375552283,383,248,13,5,5,1471,3,5,89,30,15,842.168539325843,20,12,14,8,4,689.571428571429,4,3,97,40,20,734.876288659794,31,12,6,1,1,898.666666666667,1,2,1705,561,475,317,984.568914956012,297
"NJ",2006,9312,2657,3389,1047.67537473233,1866,840,4671,1979,2172,644.290971330766,967,426,31,9,12,1043.25806451613,7,1,1185,448,496,820.888888888889,332,88,50,21,20,719.64,12,2,2258,1167,1155,426.376657824934,309,222,2,1,1,892,0,0,17509,6282,3493,7245,843.81894340913,1579
"NM",2006,305,120,90,623.895081967213,29,39,1167,518,425,526.164524421594,130,166,544,329,199,389.211009174312,130,88,2215,1000,684,500.83927765237,188,429,6,3,3,406.666666666667,1,1,174,149,117,112.086206896552,21,17,6,2,1,744.166666666667,0,1,4417,2121,499,1519,487.145540968764,741
"NV",2006,2397,1152,761,658.476011681268,444,699,3957,1644,1210,624.612838008592,563,1022,156,72,40,613.282051282051,29,49,1755,901,640,433.849572649573,272,475,148,99,55,338.304054054054,22,46,27,17,21,169.962962962963,7,7,123,71,49,472.268292682927,22,27,8563,3956,1359,2776,586.218031063879,2325
"NY",2006,19941,5832,3281,1271.91156598769,4537,3619,8927,3070,2215,818.385063262793,2718,574,124,49,27,723.991935483871,45,7,8397,2760,1479,1103.6992150333,1797,1585,222,76,68,1018.06306306306,54,28,5580,1566,1037,1454.7659042173,1621,605,NA,NA,NA,NA,NA,NA,43191,13353,10772,8107,1166.37279829874,6418
"OH",2006,11812,4797,3406,687.963173044362,1438,2637,14382,6545,4462,531.906480322625,1821,3246,133,60,40,532.84962406015,18,29,761,369,251,472.386333771353,64,147,68,38,31,342.367647058824,5,13,126,65,45,418.595238095238,13,38,17,6,10,758.117647058824,1,2,27299,11880,3360,8245,596.921755375655,6112
"OK",2006,4525,1659,1050,722.649281767956,651,1225,7397,2850,1990,617.4746518859,760,1670,4420,1556,1039,642.221040723982,373,849,1443,629,416,517.225918225918,159,319,151,69,52,502.788079470199,21,32,1,1,1,1,1,0,107,53,27,501.18691588785,14,16,18044,6817,1979,4575,640.211205941033,4111
"OR",2006,1205,403,231,1068.96763485477,69,202,8914,2853,2082,817.587054072246,584,1266,1888,470,464,818.409957627119,88,290,1754,689,445,654.460661345496,61,260,135,54,37,690.651851851852,9,19,2199,814,524,672.926330150068,90,341,41,11,5,857.487804878049,3,3,16136,5294,904,3788,798.049020823004,2381
"PA",2006,16022,6122,3984,763.196042940956,5299,3714,14564,6311,4396,614.396388354848,4062,2380,68,32,17,744.897058823529,16,6,2497,1032,705,615.947136563877,790,282,194,90,60,604.860824742268,86,15,1090,616,257,463.01376146789,178,287,7,6,1,400.714285714286,1,4,34442,14209,10432,9420,679.098252134022,6688
"PR",2006,2035,613,616,1121.69189189189,161,572,87,31,32,1053.91954022989,5,28,37,6,18,1168.97297297297,1,14,8602,2756,2674,1181.87738261274,551,2940,19,6,4,1091.94736842105,3,5,8,2,0,2755.375,2,3,26,6,15,590.461538461538,0,12,10814,3420,723,3359,1169.06444156805,3574
"RI",2006,1148,529,236,655.024390243902,420,332,2220,988,527,646.904054054054,897,556,72,24,8,785.027777777778,25,22,779,395,185,542.286264441592,317,165,104,46,33,669.096153846154,46,21,95,47,26,487.684210526316,35,20,7,3,1,540.285714285714,4,1,4425,2032,1744,1016,629.775367231638,1117
"SC",2006,4210,1689,1137,897.377434679335,963,461,3629,1632,1205,616.737117663268,1037,439,17,9,4,656.176470588235,9,2,262,122,113,478.358778625954,75,24,17,6,8,772,6,0,26,20,12,169.769230769231,10,0,19,8,5,565.894736842105,2,5,8180,3486,2102,2484,755.607946210269,931
"SD",2006,209,115,74,427.923444976077,31,28,968,422,348,570.743801652893,213,178,1707,761,509,510.826596367897,346,329,100,45,23,618.91,13,16,12,5,8,346.083333333333,6,3,4,4,4,82.25,1,1,7,4,4,259.285714285714,0,2,3007,1356,610,970,526.134020618557,557
"TN",2006,4957,1963,1530,728.862618519266,746,561,9545,4180,3530,521.072289156627,1172,1037,39,17,6,343.435897435897,4,1,599,293,197,467.908180300501,50,43,40,20,17,586.95,4,2,277,139,106,371.205776173285,21,37,2,0,1,673,1,0,15459,6612,1998,5387,582.697845915001,1681
