"st","datayear","cl.blk","ent.blk","reun.blk","lifelos.blk","grp.inst.blk","kin.fc.blk","cl.white","ent.white","reun.white","lifelos.white","grp.inst.white","kin.fc.white","cl.nat.am","ent.nat.am","reun.nat.am","lifelos.nat.am","grp.inst.nat.am","kin.fc.nat.am","cl.latino","ent.latino","reun.latino","lifelos.latino","grp.inst.latino","kin.fc.latino","cl.asian","ent.asian","reun.asian","lifelos.asian","grp.inst.asian","kin.fc.asian","cl.unk","ent.unk","reun.unk","lifelos.unk","grp.inst.unk","kin.fc.unk","cl.haw.pi","ent.haw.pi","reun.haw.pi","lifelos.haw.pi","grp.inst.haw.pi","kin.fc.haw.pi","cl","ent","grp.inst","reun","lifelos","kin.fc"
"KS",2013,1948,647,362,771.462012320329,123,369,6490,2720,1549,582.416640986133,264,1549,233,81,46,610.309012875536,6,41,1088,470,256,549.778492647059,58,193,73,40,28,400.123287671233,4,5,6,4,2,963,1,1,7,1,4,615.857142857143,0,0,9845,3963,456,2247,615.77968511935,2158
"KY",2013,2085,907,638,556.358752997602,386,166,9011,4061,2575,519.000665852847,1471,888,22,9,11,438.954545454545,4,3,590,299,158,456.75593220339,63,31,28,20,13,300.928571428571,3,4,425,239,147,348.736470588235,64,35,12,5,2,463.333333333333,3,0,12173,5540,1994,3544,515.736876694324,1127
"LA",2013,3496,1676,1283,573.988272311213,294,970,3626,1663,1159,523.73221180364,187,1184,34,23,11,395.676470588235,3,11,119,57,50,498.579831932773,10,19,8,6,3,332.625,0,4,84,43,38,454,5,22,17,7,9,410,0,3,7384,3475,499,2553,545.269095341278,2213
"MA",2013,3036,1140,730,712.711791831357,510,556,6378,2501,1595,658.201473816243,909,1479,197,48,46,727.664974619289,12,64,3174,1352,853,650.108380592313,476,495,231,82,74,639.709956709957,21,27,618,294,152,529.750809061489,74,115,17,8,5,653.352941176471,2,2,13651,5425,2004,3455,663.311259248407,2738
"MD",2013,4437,1350,1101,1121.47013748028,496,1518,2055,701,531,736.408272506083,278,798,6,3,1,279.333333333333,1,2,301,106,53,817.491694352159,26,96,31,15,5,668.41935483871,7,9,226,124,55,405.16814159292,9,126,5,3,1,397.6,0,0,7061,2302,817,1747,970.301656989095,2549
"ME",2013,158,57,28,615.082278481013,10,26,1521,586,235,737.103879026956,84,450,80,21,19,645.5375,3,23,399,166,65,503.576441102757,5,123,18,5,3,725,0,3,267,126,52,419.47191011236,7,77,10,1,1,717.3,0,0,2453,962,109,403,653.530370974317,702
"MI",2013,9961,3144,1804,829.271960646521,1884,1890,10504,3889,2201,567.615860624524,840,2871,554,209,105,563.418772563177,40,179,1037,408,206,559.311475409836,42,251,97,45,26,471.340206185567,4,25,52,14,8,1367,31,2,56,7,9,1064.67857142857,39,4,22261,7716,2880,4359,686.90449665334,5222
"MN",2013,3047,1742,1304,383.645881194618,949,444,4548,2510,1756,393.858399296394,1306,794,2425,1138,753,493.879587628866,370,609,704,420,308,329.539772727273,201,114,314,190,157,312.251592356688,92,48,65,50,29,161.153846153846,24,10,11,9,4,313,4,0,11114,6059,2946,4311,405.061723951773,2019
"MO",2013,3670,1363,752,687.585286103542,394,850,11552,4595,2815,567.712517313019,1020,2839,74,33,13,455.594594594595,6,22,513,232,134,508.037037037037,34,103,35,13,9,630.514285714286,4,3,331,158,68,444.175226586103,30,62,16,7,6,276.1875,1,6,16191,6401,1489,3797,589.802915199802,3885
"MS",2013,2987,1128,888,704.753264144627,353,733,2849,1256,863,512.969111969112,296,711,11,5,1,607.181818181818,0,2,176,63,58,490.772727272727,14,24,22,8,4,632.545454545455,1,0,68,45,21,328.794117647059,6,17,6,4,2,282,0,5,6119,2509,670,1837,604.276515770551,1492
