"stname","year","cl.blk","ent.blk","reun.blk","lifelos.blk","grp.inst.blk","cl.white","ent.white","reun.white","lifelos.white","grp.inst.white","cl.nat.am","ent.nat.am","reun.nat.am","lifelos.nat.am","grp.inst.nat.am","cl","ent","reun","lifelos","grp.inst","state","tot","child","child.pov","wht","wht.child","wht.child.pov","wht.lessHS","blk","blk.child","blk.child.pov","blk.lessHS","amind","amind.child","amind.child.pov","amind.lessHS","lessHS","latino","latino.child","latino.child.pov","latino.lessHS","foreign","foreign.child","foreign.child.pov","foreign.lessHS","adult","welf","wht.welf","w.adult","b.adult","a.adult","l.adult","blk.welf","latino.welf","amind.welf","wht.unemp","blk.unemp","latino.unemp","amind.unemp","unemp","wht.emp","blk.emp","latino.emp","amind.emp","emp","blk.singpar","latino.singpar","amind.singpar","wht.singpar","singpar","wht.f","blk.f","amind.f","f","incartot","new.incar","WHITEM","WHITEF","BLACKM","BLACKF","AIANM","AIANF","incar.f","incar.m","statename","inst6014_nom","St","v.crime.rt","pctblk1930","pctimm1930","pctami1930","boarding.n","board"
"ME",2014,173,53,30,692.578034682081,10,1664,573,267,737.158653846154,92,71,26,16,635.070422535211,2,2652,916,433,670.603695324284,122,23,1328535,265424,52893,1249855,237452,43073,0.081906703379941,15737,6388,3263,0.212722405920328,7565,1672,774,0.147679324894515,0.0853251797620184,18180,6622,2512,0.120253164556962,57745,6751,2698,7247,1063111,29951,26456,1012403,9349,5893,11558,1157,604,591,47094,1018,1158,626,51082,616206,5070,7073,3063,646476,3175,3117,867,70974,83054,523883,4038,3074,549852,2199,774,1775,158,171,5,54,10,174,2025,"Maine",67.13589,"Maine",127.8,0.00178790625290296,0.129976469728805,0.000799778858549171,0,FALSE
"MI",2014,9026,3069,1966,754.613910732086,1427,9887,3606,2142,572.403560230606,742,544,190,123,634.621323529412,33,20938,7581,4496,648.027314836923,2345,26,9889024,2272771,556847,7527543,1547880,265629,0.0886980767182742,1382334,368852,184165,0.164303783291578,54254,13711,3796,0.149963359226147,0.106771122446418,456377,175055,60416,0.297519258209113,670071,68837,20629,115660,7616253,164104,99480,5979663,1013482,40543,281322,47403,8923,1309,367300,137689,27002,3129,557749,3451496,464944,175693,21361,4289648,242628,64020,5653,354992,717476,3063721,546566,20873,3926812,43359,13835,17874,1183,22337,888,358,34,2123,41236,"Michigan",11.17324,"Michigan",427.3,0.0372808596235298,0.180440285003057,0.0012685273224093,1,TRUE
"MN",2014,2952,1646,1150,384.106029810298,829,4658,2520,1699,398.352511807643,1211,2898,1425,788,488.6966873706,380,11564,6212,4098,410.894154271878,2708,27,5383661,1278954,195409,4422589,923331,79183,0.0546111320127493,286986,97097,47160,0.194669710523871,56890,17160,8331,0.191609871471696,0.0783935649797279,264494,105927,30869,0.355740101949316,434826,48222,15739,82725,4104707,97777,57987,3499258,189889,39730,158567,20626,5222,4612,137147,24313,11794,4250,191210,2394461,112819,115510,20019,2791263,50524,39568,8625,182796,327938,1784008,93096,20340,2087750,9576,7876,4478,432,3505,121,894,135,661,8915,"Minnesota",78.16688,"Minnesota",229.1,0.00414130307726842,0.153620970982694,0.00432916396307982,3,TRUE
"MO",2014,3758,1289,739,695.58594997339,352,12760,5228,3002,567.141995141447,1075,91,46,7,453.791208791209,9,17760,7121,4011,587.258769213445,1507,29,6028083,1405515,327137,4849630,1038411,189333,0.107187077696951,694960,191265,83815,0.164987068362066,25291,5243,1175,0.177555504162812,0.119933701937067,225993,84839,30512,0.313072202132848,270121,28177,7492,44326,4622568,69379,50155,3811219,503695,20048,141154,14844,2048,657,176857,58353,9933,1426,254544,2326791,272649,95855,10728,2796287,120881,27610,1788,250152,430626,1961447,272475,10579,2389553,31903,19020,17174,2445,10992,557,83,33,3103,28800,"Missouri",47.5989,"Missouri",442.9,0.0622663085991953,0.0431549091231557,0.00018276394201092,0,FALSE
"MS",2014,3156,1339,946,655.176489226869,374,3280,1544,910,500.008841463415,313,19,10,10,419.789473684211,0,6766,3054,1951,569.545817321904,722,28,2984345,742343,249012,1717817,367084,66254,0.140189417739519,1115608,322537,163958,0.246744740007064,13469,3973,1438,0.29178655506147,0.183155117660395,84302,28039,11695,0.390983017862521,80504,7611,2241,18911,2242002,36350,13238,1350733,793071,9496,56263,22228,408,103,62621,79556,4141,857,148933,749083,399441,32972,4885,1206629,200211,10434,2004,85109,303664,695282,430786,4875,1171129,13069,6576,5356,743,11889,589,20,2,967,12102,"Mississippi",26.71607,"Mississippi",278.5,0.505999974778186,0.00375076930760917,0.00115312657571015,0,FALSE
"MT",2014,152,61,36,513.592105263158,16,1793,753,530,513.631901840491,154,1467,527,292,675.034083162918,95,3602,1392,920,584.571071626874,287,30,1006370,223941,49366,877849,177719,31497,0.0661028865803255,4696,1794,413,0.175803402646503,66517,22767,11033,0.169445012115727,0.074096702425533,31835,11947,4192,0.16326105087573,28231,3671,833,2550,782429,11349,8223,700130,2902,43750,19888,107,311,2510,28471,161,1255,6047,36714,435904,1866,12626,21674,481113,813,4621,10496,41465,61033,350175,973,22723,392970,3119,2453,2543,251,96,10,664,122,372,2747,"Montana",43.46445,"Montana",323.7,0.00253380837906433,0.151164051899949,0.0257102533523684,1,TRUE
"NC",2014,5723,2201,1149,647.412021666958,554,6933,2861,1375,573.084234818982,698,507,245,162,451.07100591716,29,14346,5799,2933,599.488219712812,1372,37,9750405,2283351,586734,6295118,1237649,187500,0.107745329591869,2091146,538729,216009,0.178551203675057,115490,30359,11885,0.279255394965649,0.146855512683623,848605,329266,140619,0.453143181072292,821758,79252,23603,207948,7467054,85323,44271,5057469,1552417,85131,519339,32187,5595,1009,271297,166278,40646,6491,501304,2967832,847336,356952,42334,4370960,315644,120580,12884,274437,765602,2618043,848037,44579,3884493,37348,16018,12324,1668,19166,815,831,92,2666,34682,"North Carolina",6.652,"North Carolina",329.5,0.287364442368704,0.00287822940234942,0.00527170481078041,0,FALSE
"ND",2014,151,94,43,351.470198675497,32,1098,466,331,494.367941712204,233,758,341,128,607.096306068602,107,2178,999,549,514.292470156107,408,38,704925,157785,22592,618402,126828,11115,0.0777597506041282,10187,2795,1411,0.139423076923077,37970,13883,6951,0.164832125670668,0.0854845961307467,18146,6684,1500,0.223905943827564,25229,3837,1580,2907,547140,6180,4323,491574,7392,24087,11462,280,201,1230,9079,496,381,1409,11725,346766,5450,8862,12652,383404,915,2242,7731,24812,38063,242629,2622,12747,269159,1696,1163,1029,120,114,5,278,70,204,1492,"North Dakota",26.91266,"North Dakota",265.1,0.000644836493776012,0.158479884165958,0.0127895876763288,3,TRUE
"NE",2014,1460,418,365,786.045205479452,166,3444,1181,943,652.219221835075,347,802,268,240,668.815461346633,67,6824,2317,1887,670.308177022274,695,31,1855617,463167,84151,1506969,329978,40377,0.055590713654561,85425,27944,13228,0.168664783469383,16066,5956,2899,0.190581581212345,0.0939606642786262,180245,73454,22918,0.492946148536553,128491,14652,5371,43078,1392450,17134,12020,1176991,57481,10110,106791,2134,1314,650,36638,5637,8407,1171,53323,819243,35513,77255,5695,965717,15783,26791,2780,66507,120064,601906,28834,5472,708366,5228,2744,2757,287,1363,77,194,24,441,4787,"Nebraska",15.68043,"Nebraska",280.4,0.0101763986133961,0.0878719599950622,0.00230204667036589,3,TRUE
"NH",2014,115,31,25,700.834782608696,32,1119,367,264,617.581478183437,267,17,3,6,896.882352941176,8,1460,478,357,614.219795221843,344,33,1321069,275571,34748,1211362,239629,27267,0.0734810330300764,16103,4341,1446,0.170067288908183,2599,406,65,0.192215281114849,0.0791414986926853,40124,14297,3659,0.196033713435796,84843,7744,1079,11601,1045498,16352,14104,971733,11762,2193,25827,412,820,105,41798,685,2296,62,46752,645984,8242,17646,1326,695710,2337,5928,278,59987,72020,497809,5067,1133,534892,2723,1776,2227,219,166,5,8,1,185,2538,"New Hampshire",66.01801,"New Hampshire",196.1,0.00257402561953325,0.176786976384369,4.33364426227757e-05,0,FALSE
