"stname","year","cl.blk","ent.blk","lifelos.blk","grp.inst.blk","cl.white","ent.white","lifelos.white","grp.inst.white","cl.nat.am","ent.nat.am","lifelos.nat.am","grp.inst.nat.am","state","tot","wht","wht.child","wht.child.pov","wht.lessHS","blk","blk.child","blk.child.pov","blk.lessHS","amind","amind.child","amind.child.pov","amind.lessHS","latino.child.pov","foreign","foreign.child","foreign.child.pov","foreign.lessHS","child","child.pov","adult","w.adult","b.adult","a.adult","wht.unemp","blk.unemp","amind.unemp","wht.emp","blk.emp","amind.emp","blk.singpar","latino.singpar","amind.singpar","wht.singpar","wht.f","blk.f","amind.f","incartot","new.incar","WHITEM","WHITEF","BLACKM","BLACKF","AIANM","AIANF","TOTRACEM","TOTRACEF","statename","inst6014_nom","v.crime.rt","pctblk1930","pctami1930","pctimm1930","pctblk1960","pctami1960","pctimm1960","boarding.n","board"
"ME",2014,173,53,730.585365853659,10,1664,573,756.713140037014,0,71,26,663.088235294118,0,23,1328535,1249855,237452,43073,0.081906703379941,15737,6388,3263,0.212722405920328,7565,1672,774,0.147679324894515,2512,57745,6751,2698,7247,265424,52893,1063111,1012403,9349,5893,47094,1018,626,616206,5070,3063,3175,3117,867,70974,523883,4038,3074,2199,774,1775,158,171,5,54,10,2063,179,"Maine",67.13589,127.8,0.00178790625290296,0.000799778858549171,0.129976469728805,0.00359311113864453,0.00216825672159584,0.0666171065130302,0,FALSE
"MI",2014,9026,3069,772.14517225748,0,9887,3606,581.579899290926,0,544,190,656.338403041825,0,26,9889024,7527543,1547880,265629,0.0886980767182742,1382334,368852,184165,0.164303783291578,54254,13711,3796,0.149963359226147,60416,670071,68837,20629,115660,2272771,556847,7616253,5979663,1013482,40543,367300,137689,3129,3451496,464944,21361,242628,64020,5653,354992,3063721,546566,20873,43359,13835,17874,1183,22337,888,358,34,41236,2123,"Michigan",11.17324,427.3,0.0372808596235298,0.0012685273224093,0.180440285003057,0.0913802802495653,0.00114043162524292,0.0699064130101258,1,TRUE
"MN",2014,2952,1646,468.739561802398,829,4658,2520,447.97827136649,1211,2898,1425,555.171697373579,380,27,5383661,4422589,923331,79183,0.0546111320127493,286986,97097,47160,0.194669710523871,56890,17160,8331,0.191609871471696,30869,434826,48222,15739,82725,1278954,195409,4104707,3499258,189889,39730,137147,24313,4250,2394461,112819,20019,50524,39568,8625,182796,1784008,93096,20340,9576,7876,4478,432,3505,121,894,135,9901,736,"Minnesota",78.16688,229.1,0.00414130307726842,0.00432916396307982,0.153620970982694,0.00616140416700864,0.00478373529998007,0.0432939769489618,3,TRUE
"MO",2014,3758,1289,732.216246498599,352,12760,5228,585.968666504736,1075,91,46,463.988764044944,9,29,6028083,4849630,1038411,189333,0.107187077696951,694960,191265,83815,0.164987068362066,25291,5243,1175,0.177555504162812,30512,270121,28177,7492,44326,1405515,327137,4622568,3811219,503695,20048,176857,58353,1426,2326791,272649,10728,120881,27610,1788,250152,1961447,272475,10579,31903,19020,17174,2445,10992,557,83,33,28836,3106,"Missouri",47.5989,442.9,0.0622663085991953,0.00018276394201092,0.0431549091231557,0.0904317386231038,0.000370432109055213,0.0197116186031005,0,FALSE
"MS",2014,3156,1339,677.502293577982,0,3280,1544,509.167649798199,0,19,10,419.789473684211,0,28,2984345,1717817,367084,66254,0.140189417739519,1115608,322537,163958,0.246744740007064,13469,3973,1438,0.29178655506147,11695,80504,7611,2241,18911,742343,249012,2242002,1350733,793071,9496,62621,79556,857,749083,399441,4885,200211,10434,2004,85109,695282,430786,4875,13069,6576,5356,743,11889,589,20,2,17448,1345,"Mississippi",26.71607,278.5,0.505999974778186,0.00115312657571015,0.00375076930760917,0.421998311492861,0.00157838710861506,0.00472598465660904,0,FALSE
"MT",2014,152,61,557.614285714286,16,1793,753,537.619381202569,154,1467,527,741.22380239521,95,30,1006370,877849,177719,31497,0.0661028865803255,4696,1794,413,0.175803402646503,66517,22767,11033,0.169445012115727,4192,28231,3671,833,2550,223941,49366,782429,700130,2902,43750,28471,161,6047,435904,1866,21674,813,4621,10496,41465,350175,973,22723,3119,2453,2543,251,96,10,664,122,3311,388,"Montana",43.46445,323.7,0.00253380837906433,0.0257102533523684,0.151164051899949,0.00222156398104265,0.0331161137440758,0.0527547393364929,1,TRUE
"NC",2014,5723,2201,653.348439428672,0,6933,2861,576.493470690656,0,507,245,451.962450592885,0,37,9750405,6295118,1237649,187500,0.107745329591869,2091146,538729,216009,0.178551203675057,115490,30359,11885,0.279255394965649,140619,821758,79252,23603,207948,2283351,586734,7467054,5057469,1552417,85131,271297,166278,6491,2967832,847336,42334,315644,120580,12884,274437,2618043,848037,44579,37348,16018,12324,1668,19166,815,831,92,34455,2641,"North Carolina",6.652,329.5,0.287364442368704,0.00527170481078041,0.00287822940234942,0.245639375353965,0.00860490743139123,0.00625172866443934,0,FALSE
"ND",2014,151,94,361.034013605442,0,1098,466,527.005825242718,233,758,341,656.460770328103,107,38,704925,618402,126828,11115,0.0777597506041282,10187,2795,1411,0.139423076923077,37970,13883,6951,0.164832125670668,1500,25229,3837,1580,2907,157785,22592,547140,491574,7392,24087,9079,496,1409,346766,5450,12652,915,2242,7731,24812,242629,2622,12747,1696,1163,1029,120,114,5,278,70,1514,204,"North Dakota",26.91266,265.1,0.000644836493776012,0.0127895876763288,0.158479884165958,0.00129672971092416,0.0180909608450882,0.0502561831867923,3,TRUE
"NE",2014,1460,418,826.224622030238,166,3444,1181,680.679696969697,347,802,268,730.776566757493,67,31,1855617,1506969,329978,40377,0.055590713654561,85425,27944,13228,0.168664783469383,16066,5956,2899,0.190581581212345,22918,128491,14652,5371,43078,463167,84151,1392450,1176991,57481,10110,36638,5637,1171,819243,35513,5695,15783,26791,2780,66507,601906,28834,5472,5228,2744,2757,287,1363,77,194,24,5001,440,"Nebraska",15.68043,280.4,0.0101763986133961,0.00230204667036589,0.0878719599950622,0.0213860544217687,0.00474773242630386,0.0319019274376417,3,TRUE
"NH",2014,115,31,767.580952380952,0,1119,367,651.827067669173,0,17,3,896.882352941176,8,33,1321069,1211362,239629,27267,0.0734810330300764,16103,4341,1446,0.170067288908183,2599,406,65,0.192215281114849,3659,84843,7744,1079,11601,275571,34748,1045498,971733,11762,2193,41798,685,62,645984,8242,1326,2337,5928,278,59987,497809,5067,1133,2723,1776,2227,219,166,5,8,1,2715,248,"New Hampshire",66.01801,196.1,0.00257402561953325,4.33364426227757e-05,0.176786976384369,0.00382031352917929,0.000329337373205111,0.0774601501778422,0,FALSE
"NJ",2014,5638,2227,677.44945713216,444,3503,1547,528.616282550135,206,24,15,411.571428571429,0,34,8874374,5130116,1013578,79077,0.0723567596787465,1203352,303441,92828,0.144981184117685,17676,5013,1686,0.2234409553295,140390,1975471,129405,26213,341522,2035923,328906,6838451,4116538,899911,12663,228326,97650,1056,2535839,509527,6951,170900,202723,2238,156197,2140604,487916,6578,21394,9585,4392,409,12588,484,5,1,20571,1019,"New Jersey",54.12435,261.2,0.052961313953019,4.49311961264829e-05,0.210113532318642,0.0849611789723555,0.000458269455846232,0.103357895257406,0,FALSE
"NM",2014,301,138,550.051903114187,0,1022,539,459.549196787149,0,523,280,493.197628458498,0,35,2080074,825394,131455,19089,0.0581678128767163,42036,10533,3324,0.114393061273432,194216,57948,24784,0.222001909377983,110333,231152,21058,9275,82934,510323,158267,1569751,693939,31503,136268,28613,1901,13631,387808,17745,64604,5139,117762,28472,34207,353367,13886,70406,6948,3798,1526,181,465,38,443,69,6275,673,"New Mexico",40.63606,597.4,0.00709350576941856,0.0704229681493487,0.0569295007878273,0.0181209748705645,0.0594351138611778,0.0263290819547923,14,TRUE
"NV",2014,2458,1075,595.068504954761,190,3137,1292,555.032333333333,0,201,76,736.42328042328,23,32,2761584,1455238,252858,33559,0.0754710323245643,229465,60871,23026,0.130060169162945,29753,6877,2445,0.167082813150229,82361,562853,35169,9948,151886,660701,150827,2100883,1202380,168594,22876,80376,20061,2898,689780,90307,11978,35463,91545,3235,66419,591147,84286,12158,12693,5876,4975,664,3367,237,209,25,11452,1085,"Nevada",42.92275,635.6,0.00494195061872431,0.0476970466173647,0.166356703041664,0.0464170523068293,0.0209648015706072,0.0476791473846585,0,FALSE
