"","mean","mcse","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"b[(Intercept) stname:AL]",-0.168654323623976,0.00398783514252687,0.0960397909299296,-0.35766669342578,-0.23280175555904,-0.16917237379994,-0.103747648491034,0.0174315844786458,580,1.00609165772496
"b[(Intercept) stname:AR]",-0.398808893069808,0.00264820194463431,0.0713469563488638,-0.540644024771915,-0.444965683306579,-0.398819586112845,-0.350445826962438,-0.259512919988873,726,1.00374447992528
"b[(Intercept) stname:AZ]",-0.107631881180715,0.00287029663319473,0.0678169602493866,-0.241978139366003,-0.153765852990748,-0.107087819563386,-0.0612771176407692,0.023489127024179,558,1.00385783511025
"b[(Intercept) stname:CA]",-0.468873544779268,0.00572786705336425,0.190209427134808,-0.841374461664508,-0.595783459805055,-0.465547762405907,-0.338754056111918,-0.106998577421431,1103,1.00100012530382
"b[(Intercept) stname:CO]",0.00994193585759529,0.00278898775191885,0.0659121333285687,-0.118428411195917,-0.0339270603567499,0.0103427498421672,0.0530573124011378,0.140463792764323,559,1.0034660453416
"b[(Intercept) stname:CT]",0.173436369285233,0.00315610121693864,0.0721072124378677,0.03615781538493,0.125085869456311,0.171693752813476,0.221539764858015,0.318559400798049,522,1.00702738490987
"b[(Intercept) stname:DE]",0.361322659895091,0.00326096709932213,0.080984729147111,0.195284024535321,0.309040214724462,0.362266996377433,0.416166653315819,0.518703826425993,617,1.00543177637761
"b[(Intercept) stname:FL]",-0.264880730675099,0.00298718900053216,0.0744051144685862,-0.408546902900074,-0.314344793718096,-0.265407498194571,-0.215455009859278,-0.118454548015797,620,1.00326697943206
"b[(Intercept) stname:GA]",-0.0113782426421163,0.004583674299462,0.106060166033983,-0.217942831643305,-0.0835316153398095,-0.0117974616595269,0.061960222358974,0.195053591273981,535,1.00726369039317
"b[(Intercept) stname:HI]",-0.0909875874949867,0.00369426208094736,0.0865208176384041,-0.259012421229794,-0.150044501500473,-0.090324416315918,-0.0306842998101935,0.0729157214300983,549,1.00800045170504
"b[(Intercept) stname:IA]",-0.0819332881277258,0.0029613960366256,0.0732856526182227,-0.222333624764589,-0.131098191102509,-0.0833913716594255,-0.0334501520076568,0.0626211786817456,612,1.00511648398463
"b[(Intercept) stname:ID]",0.0291386452700403,0.00325441397333728,0.0773935030680922,-0.122956842538169,-0.0217174127794537,0.0312852260185905,0.0803947662828026,0.178693437880721,566,1.00419377223486
"b[(Intercept) stname:IL]",0.465681959274394,0.00262812740228787,0.0709062137847252,0.327365972940249,0.418064537792812,0.466574294710661,0.511967413446107,0.6055016687104,728,1.00178183093933
"b[(Intercept) stname:IN]",0.161930143361976,0.00237614297627722,0.0622078988062958,0.0422495458249202,0.120666890105593,0.161534714770348,0.204141732306749,0.289619222227493,685,1.00321585069964
"b[(Intercept) stname:KS]",-0.290844405881757,0.00248387611079678,0.0615085045770657,-0.412180270949027,-0.332866794501013,-0.290310038334381,-0.248443835938194,-0.17214591417798,613,1.00585828058458
"b[(Intercept) stname:KY]",-0.310035083563082,0.00246970217764438,0.0666226988718148,-0.44194038632411,-0.35368338473995,-0.309346575784461,-0.265200273244052,-0.175720889786769,728,1.00323802928249
"b[(Intercept) stname:LA]",-0.118411906614979,0.0050793340247232,0.118096583494276,-0.357718881439955,-0.196238372902127,-0.118912400017179,-0.0385176018737167,0.109226020461615,541,1.00585652154015
"b[(Intercept) stname:MA]",-0.258073376557138,0.00293277137429401,0.0707172483869722,-0.399371788032745,-0.305707098287498,-0.257813980413267,-0.20980608374909,-0.118140947697469,581,1.0034634132334
"b[(Intercept) stname:MD]",0.605857638848613,0.00508862155357727,0.114540718942812,0.378560460465582,0.531474698573353,0.607175590436752,0.682376077823301,0.826993294180374,507,1.00801905857166
"b[(Intercept) stname:ME]",-0.368908314693225,0.00307993981926292,0.0722457866840413,-0.509306805378065,-0.416720560895362,-0.369479139108298,-0.321904774531792,-0.22947590565631,550,1.00523274534501
"b[(Intercept) stname:MI]",0.30675317699398,0.00258245472481299,0.0647229628179617,0.180509654828251,0.263440121493601,0.30731358920673,0.349777631319202,0.432481443193198,628,1.00309594097471
"b[(Intercept) stname:MN]",0.0783552227605699,0.00293918360797593,0.0728341484263551,-0.058938432336401,0.0309115624669817,0.075633691335931,0.127295532799903,0.223883990964997,614,1.00378117478017
"b[(Intercept) stname:MO]",-0.33177246491657,0.00234903709418486,0.0624733733831835,-0.453380568559508,-0.373971281974109,-0.332030401990831,-0.289719001167831,-0.209793643881743,707,1.00423929872523
"b[(Intercept) stname:MS]",-0.185891829818494,0.00591780522680211,0.136586386301517,-0.45716213874849,-0.277368813841529,-0.18349760409855,-0.0918628711857695,0.0710750643750336,533,1.00687355133736
"b[(Intercept) stname:MT]",0.395132326588561,0.00320015814226244,0.0752023869372793,0.251375077559146,0.34391831282304,0.39545750843624,0.444826391024373,0.543155595166155,552,1.00666079105852
"b[(Intercept) stname:NC]",-0.0819100960529266,0.00328982047946377,0.0798335886165721,-0.238167125095948,-0.134965950568452,-0.0812321194570442,-0.0287162759846469,0.0746599187869166,589,1.00573878126598
"b[(Intercept) stname:ND]",0.122245504544743,0.00312471052041631,0.0727873589918404,-0.0232911355189559,0.0735863378955658,0.124298974994416,0.170287653374707,0.261794101188306,543,1.00737075535434
"b[(Intercept) stname:NE]",-0.198092763644373,0.00268616058640473,0.0676047443236097,-0.333429151767402,-0.243206046248349,-0.197538889642228,-0.153625368147871,-0.0652303998651168,633,1.00432150756506
"b[(Intercept) stname:NH]",0.167548457337195,0.00355891594723538,0.0799434026678455,0.0128412382823937,0.111437294254214,0.167748377095419,0.223637056882083,0.322337858828071,505,1.00860834768075
"b[(Intercept) stname:NJ]",0.431856490115983,0.00280919406226044,0.0695211696355193,0.293270081863295,0.385632644325171,0.432556124064309,0.478569212638293,0.566800562347704,612,1.00419060096463
"b[(Intercept) stname:NM]",-0.303631264814679,0.00294105735807636,0.0698573931905783,-0.438183006571456,-0.350283404645015,-0.301941688007389,-0.256817397978181,-0.168455360178505,564,1.00401828978405
"b[(Intercept) stname:NV]",-0.120772941044723,0.00250458017660498,0.0627155220770562,-0.242451286532428,-0.162832761088971,-0.121355646472713,-0.0786416586575838,0.000250019201207474,627,1.00367014042696
